kind,id,name,context,go_verdict,classic_verdict,spell_chain,server_values,server_values_not_in_go,go_numbers,go_locations,server_values_not_in_classic,classic_tooltip_numbers,server_description,classic_tooltip_text,module_files
item,8345,Wolfshead Helm,equip,not in sim Go,differs,17768 > 17769 > 17770,17769 effect1=50,,,,17769 effect1=50,20 5 1,"When shapeshifting into Cat form the Druid gains 20 energy, when shapeshifting into Bear form the Druid gains 5 rage.","Wolfshead Helm Requires Druid When shapeshifting into Cat form the Druid gains 20 energy, when shapeshifting into Bear form the Druid gains 5 rage.",modules/mod-individual-progression/data/sql/world/base/vanilla_item_changes.sql
item,9449,Manual Crowd Pummeler,use,differs from server,match,13494,13494 effect1=500; 13494 duration=30,13494 duration=30,500,sim/common/tbc/melee_items.go:15,,35 500 30,Increases your haste rating by $s1 for $d1.,Haste Instant Requires level 35 Increases your haste rating by 500 for 30 sec.,modules/mod-individual-progression/data/sql/world/base/vanilla_item_changes.sql
item,11815,Hand of Justice,equip,differs from server,manual: no values a tooltip shows,15600 > 15601,15600 proc chance=2; 15600 ppm=1; 15600 proc cooldown=2,15600 ppm=1,2 0.013333,sim/common/tbc/melee_trinkets.go:26 sim/common/tbc/melee_trinkets.go:44,,60 1 2 60,Chance on melee hit to gain 1 extra attack.,Hand of Justice Requires level 60 Chance on melee hit to gain 1 extra attack. (2s cooldown),
item,12590,Felstriker,chance on hit,matches server,differs,16551,16551 effect1=100; 16551 effect2=100; 16551 duration=3; item 12590 ppm=1,,1 100 3,sim/common/tbc/melee_items.go:353 sim/common/tbc/melee_items.go:356 sim/common/tbc/melee_items.go:359,16551 effect1=100; 16551 effect2=100,60 3,All attacks are guaranteed to land and will be critical strikes for the next $d.,Felstriker Melee Range Instant Requires Mage Requires level 60 All attacks are guaranteed to land and will be critical strikes for the next 3 sec.,modules/mod-individual-progression/data/sql/world/base/vanilla_item_changes.sql
item,19019,"Thunderfury, Blessed Blade of the Windseeker",chance on hit,differs from server,match,21992 > 27648,21992 effect1=25; 21992 effect2=300; 21992 duration=12; item 19019 ppm=8; 27648 effect1=20; 27648 duration=12,item 19019 ppm=8; 27648 effect1=20,6 1 0.5 300 12 25 5 2 63 0,sim/common/tbc/melee_items.go:22 sim/common/tbc/melee_items.go:25 sim/common/tbc/melee_items.go:28,,63 300 25 5 20 12 63,"Blasts your enemy with lightning, dealing $s2 Nature damage and then jumping to additional nearby enemies.  Each jump reduces that victim's Nature resistance by $s1. Affects $x1 targets. Your primary target is also consumed by a cyclone, slowing its attack speed by $27648s1% for $d.","Thunderfury Melee Range Instant Requires level 63 Blasts your enemy with lightning, dealing 300 Nature damage and then jumping to additional nearby enemies. Each jump reduces that victim's Nature resistance by 25. Affects 5 targets. Your primary target is also consumed by a cyclone, slowing its attack speed by 20% for 12 sec.",modules/mod-individual-progression/data/sql/world/base/vanilla_item_changes.sql
item,20966,Jade Pendant of Blasting,use,differs from server (not registered),match,25607,25607 effect1=15; 25607 effect2=15; item 20966 cooldown=1.5,25607 effect1=15; 25607 effect2=15; item 20966 cooldown=1.5,,sim/core/constants.go:30,,1 15 30,Increases spell power of all nearby party members by $M1 for $d.,Jade Pendant of Blasting Instant Requires level 1 Increases spell power of all nearby party members by 15 for 30 min.,
item,21625,Scarab Brooch,use,matches server,match,26467 > 13567,26467 duration=30; item 21625 cooldown=180,,26470 1 30 0.15 180 3,sim/common/tbc/caster_trinkets.go:23 sim/common/tbc/caster_trinkets.go:25 sim/common/tbc/caster_trinkets.go:46,,15 30,Your magical heals provide the target with a shield that absorbs damage for up to 15% of the amount healed for $d.,Persistent Shield Instant Requires Mage Your magical heals provide the target with a shield that absorbs damage for up to 15% of the amount healed for 30 sec.,
item,21685,Petrified Scarab,use,matches server,match,26463 > 26465 > 29286,26463 duration=60; item 21685 cooldown=180,,10 26464 60 0 180,sim/common/wotlk/other_effects.go:1044 sim/common/wotlk/other_effects.go:1067,,100 1 10,"Increases your spell resistances by 100 for $d. Every time a hostile spell lands on you, this bonus is reduced by 10 resistance.","Mercurial Shield Instant Increases your spell resistances by 100 for 1 min. Every time a hostile spell lands on you, this bonus is reduced by 10 resistance.",
item,23565,Embrace of the Twisting Nether,use,not in sim Go,match,34518,34518 duration=6; item 23565 cooldown=1800,,,,,25 30 6,"You are protected from all physical attacks for $d, but cannot attack or use physical abilities.","Nether Protection 25 Mana 30 yd range Instant Requires Paladin You are protected from all physical attacks for 6 sec, but cannot attack or use physical abilities.",modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql
item,24114,Braided Eternium Chain,equip,matches server,match,33488,33488 effect1=5,,5,sim/common/tbc/melee_items.go:104 sim/core/constants.go:27 sim/core/character.go:417,,5,+$s1 Weapon Damage.,Weapon Damage +5 Weapon Damage.,
item,24114,Braided Eternium Chain,use,differs from server,match,31025,31025 effect1=28; item 24114 cooldown=3600,31025 effect1=28; item 24114 cooldown=3600,5,sim/common/tbc/melee_items.go:104 sim/core/constants.go:27 sim/core/character.go:417 sim/druid/wrath.go:9,,48 28 30,Increases the critical strike rating of nearby party members by $s1 for $d.,Braided Eternium Chain Instant Requires level 48 Increases the critical strike rating of nearby party members by 28 for 30 min.,
item,28485,Bulwark of the Ancient Kings,use,not in sim Go,differs,34511,34511 effect1=1500; 34511 effect2=150; 34511 effect3=30; 34511 duration=15; item 28485 cooldown=1800,,,,34511 effect3=30,1 20 1500 150 15,Temporarily Increases Health by $s1 and Strength by $s2 for $d.,Valor Instant 1 sec cooldown Requires level 20 Temporarily Increases Health by 1500 and Strength by 150 for 15 sec.,
item,28830,Dragonspine Trophy,equip,differs from server,match,34774 > 34775,34774 ppm=1.5; 34774 proc cooldown=20; 34775 effect1=325; 34775 duration=10,34774 ppm=1.5,325 10 20 1,sim/common/tbc/melee_trinkets.go:70 sim/common/tbc/melee_trinkets.go:72,,60 325 10 20 60 325,Your melee and ranged attacks have a chance to increase your haste rating by $34775s1 for $34775d1.,Magtheridon Melee Trinket Requires level 60 Your melee and ranged attacks have a chance to increase your haste rating by 325 for 10 sec. (20s cooldown),
item,29297,Band of the Eternal Defender,equip,matches server,match,35077 > 35078,35077 proc chance=3; 35077 proc cooldown=60; 35078 effect1=800; 35078 duration=10,,0.03 800 10 60,sim/common/tbc/melee_items.go:108 sim/common/tbc/melee_items.go:112,,60 800 10 3 1 30 60 800 10,When struck in combat has a chance of increasing your armor by $35078s1 for $35078d.,"Band of the Eternal Defender Requires level 60 When struck in combat has a chance of increasing your armor by 800 for 10 sec. (Proc chance: 3%, 1m cooldown)",
item,29301,Band of the Eternal Champion,equip,matches server,match,35080 > 35081,35080 ppm=1; 35080 proc cooldown=60; 35081 effect1=160; 35081 effect2=160; 35081 duration=10,,160 10 1 60,sim/common/tbc/melee_items.go:140 sim/common/tbc/melee_items.go:143,,60 160 10 1 160 10,Chance on hit to increase your attack power by 160 for 10 seconds.,Band of the Eternal Champion Requires level 60 Chance on hit to increase your attack power by 160 for 10 seconds. (1m cooldown),
item,29305,Band of the Eternal Sage,equip,matches server,match,35083 > 35084,35083 proc chance=10; 35083 proc cooldown=60; 35084 effect1=95; 35084 effect2=95; 35084 duration=10,,95 10 60 0.1,sim/common/tbc/caster_items.go:15 sim/common/tbc/caster_items.go:17,,60 95 10 1 40 95 10,Your offensive spells have a chance on hit to increase your spell power by 95 for 10 secs.,"Band of the Eternal Sage Requires level 60 Your offensive spells have a chance on hit to increase your spell power by 95 for 10 secs. (Proc chance: 10%, 1m cooldown)",modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql
item,29309,Band of the Eternal Restorer,equip,not in sim Go,match,35086 > 35087,35086 proc chance=10; 35086 proc cooldown=60; 35087 effect1=93; 35087 effect2=93; 35087 duration=10,,,,,60 93 10 1 40 93 10,Your healing and damage spells have a chance to increase your spell power by 93 for 10 secs.,"Band of the Eternal Restorer Requires level 60 Your healing and damage spells have a chance to increase your spell power by 93 for 10 secs. (Proc chance: 10%, 1m cooldown)",
item,29383,Bloodlust Brooch,use,matches server,match,35166,35166 effect1=278; 35166 effect2=278; 35166 duration=20; item 29383 cooldown=120,,278 20 120 2,sim/common/tbc/melee_trinkets.go:14,,278 20,Increases attack power by $s1 for $d.,Lust for Battle Instant Increases attack power by 278 for 20 sec.,
item,29387,Gnomeregan Auto-Blocker 600,use,matches server,match,35169,35169 effect1=200; 35169 duration=40; item 29387 cooldown=120,,200 40 120 2,sim/common/tbc/melee_trinkets.go:20,,200 40,Increases the block value of your shield by $s1 for $d.,Gnome Ingenuity Instant Increases the block value of your shield by 200 for 40 sec.,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql
item,29996,Rod of the Sun King,chance on hit,differs from server,differs,36070,36070 effect1=10; 36070 effect2=50; item 29996 ppm=6,36070 effect2=50; item 29996 ppm=6,1 5 10,sim/common/tbc/melee_items.go:174 sim/common/tbc/melee_items.go:177 sim/common/tbc/melee_items.go:180,36070 effect2=50,1 60 10 5,Chance on melee attack to gain 10 Energy or 5 Rage.,Power of the Sun King Rank 1 Instant Requires level 60 Chance on melee attack to gain 10 Energy or 5 Rage.,
item,30311,Warp Slicer,chance on hit,not in sim Go,match,36479,36479 effect1=50; 36479 effect2=20; 36479 duration=30; item 30311 ppm=1,,,,,70 50 20 30,"Increases your movement speed by $s1%, and your melee attack speed by $s2% for $d.","Speed Infusion Instant Requires level 70 Increases your movement speed by 50%, and your melee attack speed by 20% for 30 sec.",
item,30312,Infinity Blade,chance on hit,not in sim Go,match,36478,36478 effect2=5; 36478 duration=30; item 30312 ppm=60,,,,,70 5 30,"Increases magical damage taken by the target by $s2%, and dispels Prince Kael'thas' Mind Control when a melee ability lands. Can be applied up to 5 times. Lasts $d.","Magic Disruption Melee Range Instant Requires level 70 Increases magical damage taken by the target by 5%, and dispels Prince Kael'thas' Mind Control when a melee ability lands. Can be applied up to 5 times. Lasts 30 sec.",
item,30313,Staff of Disintegration,equip,not in sim Go,match,44917,44917 effect1=1459,,,,,1459,"Increases attack power by $s1 in Cat, Bear, Dire Bear, and Moonkin forms only.","Attack Power - Feral (+1459) Requires Cat Form, Bear Form, Dire Bear Form, Moonkin Form Increases attack power by 1459 in Cat, Bear, Dire Bear, and Moonkin forms only.",modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql
