id,name,category,server_ilvl,sim_ilvl,zone,difficulty,diffs (server -> sim),server_unmapped_stat_types,module_files,sim_sources
8345,Wolfshead Helm,module,45,45,other,,stat Agility: 0 -> 10; stat Spirit: 10 -> 0,,modules/mod-individual-progression/data/sql/world/base/vanilla_item_changes.sql,crafted Leatherworking (spell 10621)
15056,Stormshroud Armor,classic,57,57,other,,stat SpellCrit: 28 -> 0; stat MeleeCrit: 28 -> 0,,,crafted Leatherworking (spell 19079)
15057,Stormshroud Pants,classic,55,55,other,,stat SpellCrit: 28 -> 0; stat MeleeCrit: 28 -> 0,,,crafted Leatherworking (spell 19067)
15058,Stormshroud Shoulders,classic,59,59,other,,stat SpellCrit: 14 -> 0; stat MeleeCrit: 14 -> 0,,,crafted Leatherworking (spell 19090)
15808,Fine Light Crossbow,module,21,21,no source,,weapon damage min: 20 -> 29; weapon damage max: 20 -> 29,,modules/mod-individual-progression/data/sql/world/base/vanilla_item_changes.sql,
18843,Grand Marshal's Right Hand Blade,classic,78,78,no source,,stat SpellCrit: 14 -> 0; stat MeleeCrit: 14 -> 0,,,
18844,High Warlord's Right Claw,classic,78,78,no source,,stat SpellCrit: 14 -> 0; stat MeleeCrit: 14 -> 0,,,
18847,Grand Marshal's Left Hand Blade,classic,78,78,no source,,stat SpellCrit: 14 -> 0; stat MeleeCrit: 14 -> 0,,,
18848,High Warlord's Left Claw,classic,78,78,no source,,stat SpellCrit: 14 -> 0; stat MeleeCrit: 14 -> 0,,,
21278,Stormshroud Gloves,module,62,55,other,,ilvl: 62 -> 55; stat SpellCrit: 14 -> 19; stat MeleeCrit: 14 -> 19; stat Armor: 109 -> 99,,modules/mod-individual-progression/data/sql/world/base/vanilla_item_changes.sql,crafted Leatherworking (spell 26279)
27909,Tidefury Kilt,module,115,115,Shadow Labyrinth,Normal,stat MeleeCrit: 0 -> 19,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Shadow Labyrinth Normal (Murmur) | drop Shadow Labyrinth Heroic (Murmur)
28231,Tidefury Chestpiece,module,115,115,The Arcatraz,Normal,stat MeleeHit: 0 -> 10,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop The Arcatraz Normal (Harbinger Skyriss) | drop The Arcatraz Heroic (Harbinger Skyriss)
29305,Band of the Eternal Sage,module,152,152,other,,stat MeleeCrit: 0 -> 24,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,quest  (0)
29988,The Nexus Key,module,141,141,Tempest Keep,Normal,stat MeleeCrit: 0 -> 51,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Tempest Keep Normal (Kael'thas Sunstrider)
30313,Staff of Disintegration,module,175,175,Tempest Keep,Normal,stat SpellCrit: 75 -> 0; stat AttackPower: 1459 -> 0,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Tempest Keep Normal (Legendaries)
30314,Phaseshift Bulwark,module,175,175,Tempest Keep,Normal,stat BlockValue: 208 -> 198,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Tempest Keep Normal (Legendaries)
30318,Netherstrand Longbow,classic,175,175,Tempest Keep,Normal,stat MeleeCrit: 50 -> 0; class allowlist: Hunter -> Deathknight+Hunter,,,drop Tempest Keep Normal (Legendaries)
30720,Serpent-Coil Braid,module,128,128,Serpentshrine Cavern,Normal,stat MeleeHit: 0 -> 12; stat MeleeCrit: 0 -> 30,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Serpentshrine Cavern Normal (Morogrim Tidewalker)
30862,Blessed Adamantite Bracers,module,141,141,Hyjal Summit,Normal,stat MeleeCrit: 0 -> 21,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Hyjal Summit Normal (Rage Winterchill)
30870,Cuffs of Devastation,module,141,141,Hyjal Summit,Normal,stat MeleeCrit: 0 -> 14,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Hyjal Summit Normal (Rage Winterchill)
30872,Chronicle of Dark Secrets,module,141,141,Hyjal Summit,Normal,stat MeleeHit: 0 -> 17; stat MeleeCrit: 0 -> 23,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Hyjal Summit Normal (Rage Winterchill)
30878,Glimmering Steel Mantle,module,141,141,Hyjal Summit,Normal,stat MeleeCrit: 0 -> 29,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Hyjal Summit Normal (Anetheron)
30883,Pillar of Ferocity,module,141,141,Hyjal Summit,Normal,stat Strength: 47 -> 0; stat AttackPower: 1059 -> 94; stat RangedAttackPower: 0 -> 94; weapon damage min: 136 -> 313; weapon damage max: 293 -> 470,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Hyjal Summit Normal (Anetheron)
30884,Hatefury Mantle,module,141,141,Hyjal Summit,Normal,stat MeleeCrit: 0 -> 24,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Hyjal Summit Normal (Anetheron)
30888,Anetheron's Noose,module,141,141,Hyjal Summit,Normal,stat MeleeCrit: 0 -> 24,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Hyjal Summit Normal (Anetheron)
30889,Kaz'rogal's Hardened Heart,module,141,141,Hyjal Summit,Normal,stat Strength: 0 -> 21; stat SpellHit: 21 -> 18; stat MeleeHit: 21 -> 18; stat Defense: 28 -> 19,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Hyjal Summit Normal (Kaz'rogal)
30894,Blue Suede Shoes,module,141,141,Hyjal Summit,Normal,stat MeleeHit: 0 -> 18,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Hyjal Summit Normal (Kaz'rogal)
30895,Angelista's Sash,module,141,141,Hyjal Summit,Normal,stat MeleeHaste: 0 -> 37,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Hyjal Summit Normal (Kaz'rogal)
30896,Glory of the Defender,module,141,141,Hyjal Summit,Normal,stat Strength: 0 -> 37; stat SpellHit: 34 -> 29; stat MeleeHit: 34 -> 29; stat Dodge: 51 -> 24,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Hyjal Summit Normal (Azgalor)
30897,Girdle of Hope,module,141,141,Hyjal Summit,Normal,stat MeleeCrit: 0 -> 21,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Hyjal Summit Normal (Azgalor)
30904,Savior's Grasp,module,151,151,Hyjal Summit,Normal,stat MeleeCrit: 0 -> 46,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Hyjal Summit Normal (Archimonde)
30909,Antonidas's Aegis of Rapt Concentration,module,151,151,Hyjal Summit,Normal,stat MeleeCrit: 0 -> 20,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Hyjal Summit Normal (Archimonde)
30910,Tempest of Chaos,module,151,151,Hyjal Summit,Normal,stat MeleeHit: 0 -> 17; stat MeleeCrit: 0 -> 24,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Hyjal Summit Normal (Archimonde)
30913,Robes of Rhonin,module,151,151,Hyjal Summit,Normal,stat MeleeHit: 0 -> 27; stat MeleeCrit: 0 -> 24,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Hyjal Summit Normal (Archimonde)
30914,Belt of the Crescent Moon,module,141,141,Hyjal Summit,Normal,stat MeleeHaste: 0 -> 36,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Hyjal Summit Normal (Kaz'rogal)
30916,Leggings of Channeled Elements,module,141,141,Hyjal Summit,Normal,stat MeleeHit: 0 -> 18; stat MeleeCrit: 0 -> 34,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Hyjal Summit Normal (Kaz'rogal)
30918,Hammer of Atonement,module,141,141,Hyjal Summit,Normal,stat MeleeCrit: 0 -> 23,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,drop Hyjal Summit Normal (Kaz'rogal)
30970,Onslaught Handguards,module,146,146,vendor: Tydormu,,stat Strength: 18 -> 36; stat Block: 27 -> 0,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
30974,Onslaught Greathelm,module,146,146,vendor: Tydormu,,stat Strength: 23 -> 39; stat Agility: 28 -> 0,,modules/mod-individual-progression/data/sql/world/base/tbc_item_changes.sql,sold by Tydormu (23381) in unknown zone
