id,name,sim_ilvl,sim_sources
32419,Tom's Legs 3,145,
34138,Enchanted White Wand,175,
34139,Enchanted Crimson Wand,175,
34144,Branch of Destruction,175,
34145,Rod of Devastation,190,
34147,Silverstave,175,
34148,Purified Silverstave,190,
37109,Discarded Silver Hand Spaulders,187,drop The Culling of Stratholme Normal (Mal'Ganis)
37174,Rippling Azure Cloak,200,
37175,Glassy Silver Bracers,200,
37176,Cavern Leather Treads,200,
37244,Fungi-Coated Boots,200,
37245,Tangled Web Bindings,200,
37611,Epic Bland Dagger,146,
37649,Quarry Chisel,200,
37697,Trade District Knife,200,
37698,Spaulders of Elder's Square,200,
37699,Festival Lane Girdle,200,
37739,Brutal Gladiator's Blade of Alacrity,154,
37740,Brutal Gladiator's Swift Judgement,154,
38287,Empty Mug of Direbrew,110,
38289,Coren's Lucky Coin,110,
38442,Mail Melee Leatherworking Chest,187,
38443,Mail Melee Leatherworking Shoulders,187,
38444,Mail Melee Leatherworking Bracer,187,
38445,Mail Caster Leatherworking Helm,187,
38572,Bounty Procurement Enhancer,150,
38691,Ancestral Claymore,1,
39263,Dissevered Leggings,200,drop Ahn'kahet: The Old Kingdom TitanRuneAlpha (Elder Nadox) | drop Ahn'kahet: The Old Kingdom TitanRuneBeta (Elder Nadox)
39364,Hood of the Titan Defender,162,
39410,Gauntlets of Rampant Destruction,162,
39440,Greaves of the Titan Protectorate,162,
39460,Sabatons of the Rampaging Construct,162,
39819,Bloodbinder's Runestone,158,
39828,Punisher's Cloak,158,
40440,Brutal Gladiator's Dreadplate Chestpiece,159,
40441,Brutal Gladiator's Dreadplate Gauntlets,159,
40442,Brutal Gladiator's Dreadplate Helm,159,
40443,Brutal Gladiator's Dreadplate Legguards,159,
40444,Brutal Gladiator's Dreadplate Shoulders,159,
40553,Electrified Blade,200,
40832,Sigil of Pestilential Touch,150,
40839,Sigil of the Glorious Mistake,150,
41756,Heart's Blood Signet,158,
41757,Vest of Unyielding Companionship,158,
41758,Blood-Bond Helm,158,
41759,Shackles of Perpetual Friendship,158,
42206,Savage Gladiator's Cleaver,200,
42207,Hateful Gladiator's Cleaver,200,
42212,Savage Gladiator's Chopper,200,
42213,Savage Gladiator's Hacker,200,
42214,Savage Gladiator's Waraxe,200,sold by Zom Bocom (31865) in zone 4395
42215,Savage Gladiator's Mutilator,200,
42216,Savage Gladiator's Shanker,200,
42217,Savage Gladiator's Shiv,200,
42218,Savage Gladiator's Right Ripper,200,
42219,Savage Gladiator's Left Render,200,
42220,Savage Gladiator's Left Ripper,200,
42221,Savage Gladiator's Bonecracker,200,
42222,Savage Gladiator's Pummeler,200,
42223,Savage Gladiator's Quickblade,200,
42224,Savage Gladiator's Slicer,200,
42226,Hateful Gladiator's Hacker,200,
42231,Hateful Gladiator's Chopper,200,
42236,Hateful Gladiator's Waraxe,200,sold by  (0) in zone 4395
42238,Furious Gladiator's Waraxe,238,
42241,Hateful Gladiator's Shanker,200,
42247,Hateful Gladiator's Shiv,200,
42254,Hateful Gladiator's Mutilator,200,
42259,Hateful Gladiator's Right Ripper,200,
42264,Hateful Gladiator's Left Render,200,
42269,Hateful Gladiator's Left Ripper,200,
42274,Hateful Gladiator's Pummeler,200,
42279,Hateful Gladiator's Bonecracker,200,
42284,Hateful Gladiator's Slicer,200,
42289,Hateful Gladiator's Quickblade,200,
42294,Savage Gladiator's Decapitator,200,
42295,Savage Gladiator's Bonegrinder,200,
42296,Savage Gladiator's Pike,200,
42297,Savage Gladiator's Greatsword,200,
42316,Hateful Gladiator's Decapitator,200,
42321,Hateful Gladiator's Bonegrinder,200,
42326,Hateful Gladiator's Pike,200,
42331,Hateful Gladiator's Greatsword,200,
42343,Savage Gladiator's Spellblade,200,
42344,Savage Gladiator's Gavel,200,
42345,Hateful Gladiator's Spellblade,200,
42351,Hateful Gladiator's Gavel,200,
42356,Savage Gladiator's Battle Staff,200,
42359,Hateful Gladiator's Battle Staff,200,
42382,Savage Gladiator's Energy Staff,200,
42383,Hateful Gladiator's Energy Staff,200,
42388,Savage Gladiator's Staff,200,
42389,Hateful Gladiator's Staff,200,
42444,Savage Gladiator's War Edge,200,
42445,Savage Gladiator's Longbow,200,
42446,Savage Gladiator's Heavy Crossbow,200,
42447,Savage Gladiator's Rifle,200,
42448,Savage Gladiator's Touch of Defeat,200,
42449,Hateful Gladiator's War Edge,200,
42484,Hateful Gladiator's Rifle,200,
42489,Hateful Gladiator's Longbow,200,
42494,Hateful Gladiator's Heavy Crossbow,200,
42501,Hateful Gladiator's Touch of Defeat,200,
42511,Savage Gladiator's Baton of Light,200,
42512,Hateful Gladiator's Baton of Light,200,
42517,Savage Gladiator's Piercing Touch,200,
42518,Hateful Gladiator's Piercing Touch,200,
42523,Savage Gladiator's Endgame,200,
42524,Hateful Gladiator's Endgame,200,
42529,Savage Gladiator's Reprieve,200,
42530,Hateful Gladiator's Reprieve,200,
42535,Savage Gladiator's Grimoire,200,
42536,Hateful Gladiator's Grimoire,200,
42556,Savage Gladiator's Shield Wall,200,
42557,Savage Gladiator's Barrier,200,
42558,Hateful Gladiator's Shield Wall,200,
42563,Hateful Gladiator's Barrier,200,
42568,Savage Gladiator's Redoubt,200,
42569,Hateful Gladiator's Redoubt,200,
42574,Savage Gladiator's Idol of Resolve,200,
42575,Savage Gladiator's Idol of Steadfastness,200,
42576,Savage Gladiator's Idol of Tenacity,200,
42577,Hateful Gladiator's Idol of Tenacity,200,
42582,Hateful Gladiator's Idol of Steadfastness,200,
42587,Hateful Gladiator's Idol of Resolve,200,
42593,Savage Gladiator's Totem of Indomitability,200,
42594,Savage Gladiator's Totem of Survival,200,
42595,Savage Gladiator's Totem of the Third Wind,200,
42596,Hateful Gladiator's Totem of the Third Wind,200,
42601,Hateful Gladiator's Totem of Survival,200,
42606,Hateful Gladiator's Totem of Indomitability,200,
42611,Savage Gladiator's Libram of Fortitude,200,
42612,Savage Gladiator's Libram of Justice,200,
42613,Hateful Gladiator's Libram of Justice,200,
42618,Savage Gladiator's Sigil of Strife,200,
42619,Hateful Gladiator's Sigil of Strife,200,
42851,Hateful Gladiator's Libram of Fortitude,200,
42856,Frosthowl Amulet,174,
42875,Worg-hide Pants,174,
42885,Mountaineer's Helm,174,
42886,Gloves of the Howling Peaks,174,
43460,Giantmaim Girdle,200,
43475,Grips of the Chilling Revenant,200,
43476,Trollwoven Breastplate,200,
43848,Bracers of Icy Resolve,174,
43878,Mantle of Unholy Power,174,
43895,Leggings of Silent Echoes,174,
43922,Honed Lightblade,174,
43936,Battlesurgeon's Gauntlets,174,
43938,Belt of Rising Hope,174,
43999,Ring of the Empty Horizon,213,
44191,Ice-Rimed Chopper,200,
44333,Ghostcrawler's Greaves,200,
44389,Curative Necklace,174,
44390,Venomous Pendant,174,
44391,Cast Steel Choker,174,
44392,Necklace of Permeation,174,
44415,Savage Gladiator's War Staff,200,
44416,Savage Gladiator's Focus Staff,200,
44417,Hateful Gladiator's War Staff,200,
44418,Hateful Gladiator's Focus Staff,200,
44869,Frenzyheart Insignia of Fury,200,
44870,Oracle Talisman of Ablution,200,
45464,Cowl of Icy Breaths,225,drop Azjol-Nerub TitanRuneBeta (Krik'thir the Gatewatcher)
45850,Rituals of the New Moon,159,
45851,Rituals of the New Moon,159,
45852,Rituals of the New Moon,159,
45853,Rituals of the New Moon,159,
46326,Conqueror's Darkruned Boots,200,
46327,Conqueror's Siegebreaker Boots,200,
46328,Conqueror's Aegis Boots,200,
46329,Conqueror's Boots of Sanctification,200,
46330,Conqueror's Nightsong Boots,200,
46331,Conqueror's Terrorblade Boots,200,
46332,Conqueror's Kirin Tor Boots,200,
46333,Conqueror's Deathbringer Boots,200,
46334,Conqueror's Worldbreaker Boots,200,
46335,Conqueror's Scourgestalker Boots,200,
46339,Mimiron's Repeater,225,drop The Culling of Stratholme TitanRuneBeta (Meathook)
46839,Frostwolf Insignia Rank 7,200,
46840,Frostwolf Insignia Rank 7,200,
46842,Crusader's Band,200,
47229,Girdle of Arrogant Downfall,200,drop Trial of the Champion Normal (The Black Knight)
48435,Relentless Gladiator's Punisher,258,
48438,Relentless Gladiator's Swiftblade,258,
48440,Relentless Gladiator's Splitter,258,
48442,Relentless Gladiator's Eviscerator,258,
48444,Relentless Gladiator's Left Claw,258,
48507,Relentless Gladiator's Handaxe,258,
48509,Relentless Gladiator's Spike,258,
48511,Relentless Gladiator's Truncheon,258,
48513,Relentless Gladiator's Longblade,258,
48515,Relentless Gladiator's Grasp,258,
48517,Relentless Gladiator's Halberd,258,
48519,Relentless Gladiator's Salvation,258,
48521,Relentless Gladiator's Light Staff,258,
48523,Relentless Gladiator's Greatstaff,258,
49191,Relentless Gladiator's Blade of Celerity,258,
49666,OMAR'S Furious Gladiator's Claymore,239,
49933,Argent Crusader's Shield,200,
50204,Wand of the Drowned Contessa,264,
