kind,id,name,context,go_verdict,classic_verdict,spell_chain,server_values,server_values_not_in_go,go_numbers,go_locations,server_values_not_in_classic,classic_tooltip_numbers,server_description,classic_tooltip_text,module_files
set,674,Absolution Regalia,2 pieces,review Go locations,differs,38413,38413 effect1=3000,,2 4 1.1 1 0,sim/priest/items.go:11 sim/priest/mind_blast.go:57 sim/priest/shadow_word_pain.go:61,38413 effect1=3000,3,Increases the duration of your Shadow Word: Pain ability by ${$m1/1000} sec.,Increased Shadow Word: Pain Duration Requires Priest Increases the duration of your Shadow Word: Pain ability by 3 sec.,
set,674,Absolution Regalia,4 pieces,review Go locations,match,38412,38412 effect1=10,,2 4 1.1 1 0,sim/priest/items.go:11 sim/priest/mind_blast.go:57 sim/priest/shadow_word_pain.go:61,,10,Increases the damage from your Mind Blast ability by $s1%.,Improved Mind Blast Requires Priest Increases the damage from your Mind Blast ability by 10%.,
set,820,Aegis Battlegear,2 pieces,review Go locations,match,64878,64878 effect1=10,,2 4 10 0 0.1,sim/paladin/items.go:64 sim/paladin/crusader_strike.go:40 sim/paladin/divine_storm.go:36 sim/paladin/items.go:76,,8 2 10,Increases the damage done by your Exorcism and Hammer of Wrath abilities by $s1%.,Item - Paladin T8 Retribution 2P Bonus Requires Paladin Increases the damage done by your Exorcism and Hammer of Wrath abilities by 10%.,
set,820,Aegis Battlegear,4 pieces,review Go locations,match,64879,64879 effect1=10,,2 4 10 0 0.1,sim/paladin/items.go:64 sim/paladin/crusader_strike.go:40 sim/paladin/divine_storm.go:36 sim/paladin/items.go:76,,8 4 10,Increases the critical strike chance of your Divine Storm and Crusader Strike abilities by $s1%.,Item - Paladin T8 Retribution 4P Bonus Requires Paladin Increases the critical strike chance of your Divine Storm and Crusader Strike abilities by 10%.,
set,821,Aegis Plate,2 pieces,review Go locations,match,64881,64881 effect1=10; 64881 effect2=10,,2 4 0.1 0 64883 225 6,sim/paladin/items.go:171 sim/paladin/items.go:183 sim/paladin/shield_of_righteousness.go:12,,8 2 10,"Increases the damage done by your Seals of Vengeance, Corruption, and Righteousness by $s1%.","Item - Paladin T8 Protection 2P Bonus Requires Paladin Increases the damage done by your Seals of Vengeance, Corruption, and Righteousness by 10%.",
set,821,Aegis Plate,4 pieces,review Go locations,match,64882 > 64883,64883 effect1=225; 64883 duration=6,,2 4 0.1 0 225 6,sim/paladin/items.go:171 sim/paladin/items.go:183 sim/paladin/shield_of_righteousness.go:12,,8 4 225 6 225 6,Shield of Righteousness now increases your shield block value by $64883s1 for that attack and for $64883d afterward.,Item - Paladin T8 Protection 4P Bonus Requires Paladin Shield of Righteousness now increases your shield block value by 225 for that attack and for 6 sec afterward.,
set,822,Aegis Regalia,2 pieces,not in sim Go,match,64890,64890 effect1=15,,,,,8 2 15 9,"Your Holy Shock critical heals now also place a periodic healing effect on the target, healing for $64890s1% of the Holy Shock's heal amount over $64891d.","Item - Paladin T8 Holy 2P Bonus Requires Paladin Your Holy Shock critical heals now also place a periodic healing effect on the target, healing for 15% of the Holy Shock's heal amount over 9 sec.",
set,822,Aegis Regalia,4 pieces,not in sim Go,match,64895,64895 effect1=4,,,,,8 4 6,Your Sacred Shield can now trigger its effect every $s1 sec instead of every $s2.,Item - Paladin T8 Holy 4P Bonus Requires Paladin Your Sacred Shield can now trigger its effect every 4 sec instead of every 6.,
set,891,Ahn'Kahar Blood Hunter's Battlegear,2 pieces,review Go locations,match,70727 > 70728,70727 proc chance=5; 70728 effect1=15; 70728 duration=10,,2 0.05 10 1.15 4 70730 0.2,sim/hunter/wotlk_items.go:136,,10 2 5 15 10 5 1 15,Your Auto Shots have a $h% chance to cause you and your pet to deal $70728s1% additional damage for $70728d.,Item - Hunter T10 2P Bonus Requires Druid Your Auto Shots have a 5% chance to cause you and your pet to deal 15% additional damage for 10 sec. (Proc chance: 5%),
set,891,Ahn'Kahar Blood Hunter's Battlegear,4 pieces,review Go locations,match,70730 > 71007,70730 proc chance=5; 71007 effect1=20; 71007 effect2=20; 71007 duration=10,,2 0.05 70727 10 1.15 4 0.2,sim/hunter/wotlk_items.go:136,,10 4 5 20 10 5 1 20,"When your Serpent Sting and Wyvern Sting abilities deal damage, you have a $h% chance to gain $71007s1% attack power for $71007d.","Item - Hunter T10 4P Bonus Requires Hunter When your Serpent Sting and Wyvern Sting abilities deal damage, you have a 5% chance to gain 20% attack power for 10 sec. (Proc chance: 5%)",
set,784,Blessed Battlegear of Undead Slaying,2 pieces,review Go locations,manual: no numeric values (scripted spell),57943,,,,sim/common/wotlk/item_sets.go:147,,1,Increases your damage against undead by $s1%.,Increased Damage 1 Increases your damage against undead by 1%.,
set,784,Blessed Battlegear of Undead Slaying,3 pieces,review Go locations,match,29068,29068 effect1=2,,,sim/common/wotlk/item_sets.go:147,,2,Increases your damage against undead by $s1%.,Increased Damage 2 Increases your damage against undead by 2%.,
set,784,Blessed Battlegear of Undead Slaying,4 pieces,review Go locations,match,57944,57944 effect1=3,,,sim/common/wotlk/item_sets.go:147,,3,Increases your damage against undead by $s1%.,Increased Damage 3 Increases your damage against undead by 3%.,
