sim_set_name,issue,detail
Brutal Gladiator's Aegis,name differs,"server set 582 is ""Gladiator's Aegis"""
Brutal Gladiator's Battlegear,name differs,"server set 567 is ""Gladiator's Battlegear"""
Brutal Gladiator's Dreadgear,name differs,"server set 568 is ""Gladiator's Dreadgear"""
Brutal Gladiator's Dreadplate,name differs,"server set 760 is ""Gladiator's Dreadplate"""
Brutal Gladiator's Earthshaker,name differs,"server set 578 is ""Gladiator's Earthshaker"""
Brutal Gladiator's Felshroud,name differs,"server set 615 is ""Gladiator's Felshroud"""
Brutal Gladiator's Investiture,name differs,"server set 687 is ""Gladiator's Investiture"""
Brutal Gladiator's Pursuit,name differs,"server set 586 is ""Gladiator's Pursuit"""
Brutal Gladiator's Raiment,name differs,"server set 581 is ""Gladiator's Raiment"""
Brutal Gladiator's Redemption,name differs,"server set 690 is ""Gladiator's Redemption"""
Brutal Gladiator's Refuge,name differs,"server set 685 is ""Gladiator's Refuge"""
Brutal Gladiator's Regalia,name differs,"server set 579 is ""Gladiator's Regalia"""
Brutal Gladiator's Sanctuary,name differs,"server set 584 is ""Gladiator's Sanctuary"""
Brutal Gladiator's Thunderfist,name differs,"server set 580 is ""Gladiator's Thunderfist"""
Brutal Gladiator's Vestments,name differs,"server set 577 is ""Gladiator's Vestments"""
Brutal Gladiator's Vindication,name differs,"server set 583 is ""Gladiator's Vindication"""
Brutal Gladiator's Wartide,name differs,"server set 686 is ""Gladiator's Wartide"""
Brutal Gladiator's Wildhide,name differs,"server set 585 is ""Gladiator's Wildhide"""
Kirin'dor Garb,name differs,"server set 836 is ""Kirin Tor Garb"""
Vengeful Gladiator's Aegis,name differs,"server set 582 is ""Gladiator's Aegis"""
Vengeful Gladiator's Battlegear,name differs,"server set 567 is ""Gladiator's Battlegear"""
Vengeful Gladiator's Dreadgear,name differs,"server set 568 is ""Gladiator's Dreadgear"""
Vengeful Gladiator's Earthshaker,name differs,"server set 578 is ""Gladiator's Earthshaker"""
Vengeful Gladiator's Felshroud,name differs,"server set 615 is ""Gladiator's Felshroud"""
Vengeful Gladiator's Investiture,name differs,"server set 687 is ""Gladiator's Investiture"""
Vengeful Gladiator's Pursuit,name differs,"server set 586 is ""Gladiator's Pursuit"""
Vengeful Gladiator's Raiment,name differs,"server set 581 is ""Gladiator's Raiment"""
Vengeful Gladiator's Redemption,name differs,"server set 690 is ""Gladiator's Redemption"""
Vengeful Gladiator's Refuge,name differs,"server set 685 is ""Gladiator's Refuge"""
Vengeful Gladiator's Regalia,name differs,"server set 579 is ""Gladiator's Regalia"""
Vengeful Gladiator's Sanctuary,name differs,"server set 584 is ""Gladiator's Sanctuary"""
Vengeful Gladiator's Thunderfist,name differs,"server set 580 is ""Gladiator's Thunderfist"""
Vengeful Gladiator's Vestments,name differs,"server set 577 is ""Gladiator's Vestments"""
Vengeful Gladiator's Vindication,name differs,"server set 583 is ""Gladiator's Vindication"""
Vengeful Gladiator's Wartide,name differs,"server set 686 is ""Gladiator's Wartide"""
Vengeful Gladiator's Wildhide,name differs,"server set 585 is ""Gladiator's Wildhide"""
