area,spell_id,name,row,ppm,chance,icd_ms,charges,proc_flags,spell_type_mask,spell_phase_mask,hit_mask,attributes,school_mask,family,family_mask,sim_refs
warrior,1719,Recklessness,1719,0,100,0,3,0x1110,0x1,0x2,0x0,req_spellmod,0x0,4,0x2e600444 0x404745 0x0,sim/warrior/recklessness.go:10 sim/warrior/serverdata_allowlist.go:8
rogue,1787,Stealth,0,0,100,0,1,0xa22a8,0x5,0x2,0x0,triggered_can_proc,0x0,0,0x0 0x0 0x0,sim/rogue/stealth.go:11
mage,11129,Combustion,11129,0,100,0,3,0x10000,0x1,0x2,0x0,,0x4,3,0x8c00017 0x31048 0x0,sim/mage/talents.go:440
mage,12043,Presence of Mind,12043,0,100,0,1,0x15550,0x7,0x1,0x0,req_spellmod,0x0,3,0x61400035 0x1000 0x0,sim/mage/talents.go:292
warrior,12281,Sword Specialization,-12281,0,2,6000,0,0x14,0x1,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/warrior/talents.go:440
mage,12488,Improved Blizzard,-11185,0,101,0,0,0x10000,0x1,0x2,0x0,triggered_can_proc,0x0,3,0x80 0x0 0x0,sim/mage/blizzard.go:14 sim/mage/blizzard.go:20
mage,12536,Clearcasting,12536,0,100,0,1,0x15550,0x0,0x1,0x0,req_mana_cost req_spellmod,0x0,3,0x20c21af7 0x29040 0x0,sim/mage/talents.go:174
warrior,12727,Shield Specialization,-12298,0,100,0,0,0x2a8,0x0,0x0,0x70,,0x0,0,0x0 0x0 0x0,sim/warrior/talents.go:673
warrior,12867,Deep Wounds,-12834,0,100,0,0,0x11154,0x1,0x2,0x2,,0x0,0,0x0 0x0 0x0,sim/warrior/deep_wounds.go:15
core,12873,Improved Scorch,-11095,0,100,0,0,0x10000,0x0,0x2,0x0,,0x0,3,0x10 0x0 0x0,sim/core/debuffs.go:457
warrior,12974,Flurry,-12319,0,100,0,0,0x14,0x1,0x2,0x2,,0x0,0,0x0 0x0 0x0,sim/warrior/talents.go:504
warrior,13002,Unbridled Wrath,13002,15,0,0,0,0x4,0x0,0x0,0x0,,0x0,0,0x0 0x0 0x0,sim/warrior/talents.go:474
rogue,13877,Blade Flurry,0,0,100,0,0,0x14,0x7,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/rogue/talents.go:425
rogue,13964,Hack and Slash,-13960,0,5,0,0,0x14,0x1,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/rogue/hack_and_slash.go:23
rogue,14161,Ruthlessness,-14156,0,60,0,0,0x15550,0x0,0x4,0x0,,0x0,8,0x3e0000 0x9 0x0,sim/rogue/talents.go:72
rogue,14177,Cold Blood,0,0,100,0,1,0x15550,0x7,0x2,0x0,req_spellmod,0x0,8,0x6020206 0x4010f 0x0,sim/rogue/talents.go:222
rogue,14195,Seal Fate,-14186,0,100,500,0,0x15550,0x0,0x2,0x2,triggered_can_proc,0x0,8,0x4200020e 0x2 0x0,sim/rogue/talents.go:277
priest,14751,Inner Focus,0,0,100,0,1,0x15550,0x7,0x2,0x0,req_spellmod,0x0,6,0xdfd7ffff 0xdd95f7 0x2040,sim/priest/talents.go:471
core,15363,Inspiration,-14892,0,100,0,0,0x15550,0x0,0x2,0x2,triggered_can_proc,0x0,6,0x10001e00 0x10004 0x0,sim/core/buffs.go:383
common/tbc,15600,Hand of Justice,15600,1,2,2000,0,0x14,0x1,0x2,0x0,reduce_proc_60,0x0,0,0x0 0x0 0x0,sim/common/tbc/melee_trinkets.go:12 sim/common/tbc/melee_trinkets.go:33
shaman,16166,Elemental Mastery,16166,0,100,0,1,0x11000,0x7,0x1,0x0,req_spellmod,0x0,11,0x3 0x1000 0x0,sim/shaman/talents.go:172
shaman,16188,Nature's Swiftness,0,0,100,0,1,0x15550,0x7,0x2,0x0,req_spellmod,0x0,11,0x9c3 0x8000 0x0,sim/shaman/serverdata_allowlist.go:33 sim/shaman/talents.go:266
shaman,16246,Clearcasting,16246,0,100,0,2,0x15550,0x0,0x1,0x0,req_mana_cost req_spellmod,0x0,11,0x981001c3 0x1400 0x10,sim/shaman/talents.go:82
shaman,16280,Flurry,-16257,0,100,500,3,0x4,0x0,0x0,0x0,,0x0,0,0x0 0x0 0x0,sim/shaman/talents.go:336
druid,16870,Clearcasting,16870,0,100,0,1,0x15550,0x0,0x1,0x0,req_mana_cost req_spellmod,0x0,7,0xe3bbff 0x79007d3 0x40400,sim/druid/talents.go:323
druid,17116,Nature's Swiftness,17116,0,100,0,1,0x15550,0x7,0x1,0x0,req_spellmod,0x0,7,0x10000261 0x2000020 0x8000,sim/druid/talents.go:137
shaman,17364,Stormstrike,17364,0,100,0,4,0x22220,0x1,0x0,0x0,,0x8,0,0x0 0x0 0x0,sim/shaman/stormstrike.go:11
warlock,17941,Shadow Trance,17941,0,101,0,1,0x10000,0x1,0x1,0x0,req_spellmod,0x0,5,0x1 0x0 0x0,sim/warlock/talents.go:323
common/tbc,18979,Lightning,0,0,5,0,0,0x14,0x7,0x2,0x0,,0x0,0,0x0 0x0 0x0,sim/common/tbc/melee_sets.go:86 sim/common/tbc/melee_sets.go:116
paladin,20057,Vengeance,-20049,0,100,0,0,0x11154,0x1,0x2,0x2,,0x0,0,0x0 0x0 0x0,sim/paladin/talents.go:389
