area,spell_id,name,rank,family,dmg_class,school_mask,cast_ms,base_cast_ms,gcd_ms,gcd_category,cooldown_ms,category_cooldown_ms,duration_ms,max_duration_ms,stacks,tick_ms,speed,max_targets,binary,channeled,ranged_slot,auto_repeat,resets_swing,haste_gcd,haste_periodic,no_active_defense,always_hit,positive,passive,proc_ppm,proc_chance,proc_icd_ms,triggers,scripts,sim_refs
warrior,71,Defensive Stance,,4,0,1,0,0,0,0,0,1000,-1,-1,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/warrior/stances.go:89
shaman,379,Earth Shield,,11,1,8,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/shaman/heals.go:278
paladin,498,Divine Protection,,10,1,2,0,0,0,0,180000,0,12000,12000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,spell_pal_immunities,sim/paladin/divine_protection.go:12 sim/paladin/serverdata_allowlist.go:8
druid,768,Cat Form,Shapeshift,7,0,1,0,0,1500,133,0,0,-1,-1,0,5000,0,0,no,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/druid/forms.go:105
core druid,770,Faerie Fire,,7,1,8,0,0,1500,133,0,0,300000,300000,0,0,0,0,yes,no,no,no,yes,yes,no,no,no,no,no,,,,,,sim/core/debuffs.go:529 sim/druid/faerie_fire.go:10
warrior,871,Shield Wall,,4,2,1,0,0,0,0,300000,12000,12000,12000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/warrior/shield_wall.go:20
warlock,1122,Inferno,Summon,0,1,32,1500,1500,1500,133,0,600000,60000,60000,0,0,0,0,yes,no,no,no,yes,yes,no,no,no,no,no,,,,22703,,sim/warlock/inferno.go:15 sim/warlock/inferno.go:20
warrior,1680,Whirlwind,,4,2,1,0,0,1500,133,0,10000,0,0,0,0,0,4,no,no,no,no,no,no,no,no,no,no,no,,,,44949,,sim/warrior/whirlwind.go:11
warrior,1719,Recklessness,,4,2,1,0,0,1500,133,300000,12000,12000,12000,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,0,100,0,,,sim/warrior/recklessness.go:10 sim/warrior/serverdata_allowlist.go:8
rogue,1787,Stealth,Rank 4,8,0,1,0,0,0,1178,0,10000,-1,-1,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,0,100,0,,,sim/rogue/stealth.go:11
warrior,2457,Battle Stance,,4,2,1,0,0,0,0,0,1000,-1,-1,0,0,0,0,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/warrior/stances.go:67
warrior,2458,Berserker Stance,,4,2,1,0,0,0,0,0,1000,-1,-1,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,no,,,,,,sim/warrior/stances.go:173
