kind,spell_id,sim_refs
not a constant,,sim/common/wotlk/capacitors.go:46
not a constant,,sim/common/wotlk/capacitors.go:62
not a constant,,sim/common/wotlk/damage_procs.go:25
not a constant,,sim/common/wotlk/stat_bonus_procs.go:43
not a constant,,sim/common/wotlk/stat_bonus_procs.go:60
not a constant,,sim/common/wotlk/stat_bonus_stacking.go:31
not a constant,,sim/common/wotlk/stat_bonus_stacking.go:44
not a constant,,sim/common/wotlk/stat_bonus_stacking.go:83
not a constant,,sim/common/wotlk/stat_bonus_stacking.go:116
not a constant,,sim/core/apl.go:148
not a constant,,sim/core/apl_helpers.go:115
not a constant,,sim/core/apl_helpers.go:125
not a constant,,sim/core/apl_helpers.go:138
not a constant,,sim/core/cast.go:199
not a constant,,sim/deathknight/items.go:779
not a constant,,sim/optimizer/api.go:689
not a constant,,sim/optimizer/surrogate.go:621
not a constant,,sim/optimizer/surrogate.go:1873
not a constant,,sim/optimizer/types.go:42
not a constant,,sim/rogue/talents.go:68
