table,id,change,field,clean,changed,clean_text,changed_text,context
Talent.dbc,1341,changed,row,0,2,,,tab 363 row 0 col 0
Talent.dbc,1818,changed,row,2,0,,,tab 363 row 2 col 0
GlyphProperties.dbc,912,added,,,,,,
talent_spell,19596,changed,effect_2,0,6,,,Boar's Speed
talent_spell,19596,changed,effect_aura_2,0,10,,,Boar's Speed
talent_spell,19596,changed,effect_base_points_2,0,-46,,,Boar's Speed
talent_spell,19596,changed,effect_die_sides_2,0,1,,,Boar's Speed
talent_spell,19596,changed,effect_misc_value_2,0,127,,,Boar's Speed
talent_spell,48962,changed,effect_base_points_1,0,1,,,Virulence
talent_spell,49226,changed,effect_base_points_1,0,1,,,Nerves of Cold Steel
talent_spell,49455,changed,effect_2,0,6,,,Runic Power Mastery
talent_spell,49455,changed,effect_aura_2,0,286,,,Runic Power Mastery
talent_spell,49567,changed,effect_base_points_1,1,3,,,Virulence
talent_spell,49568,changed,effect_base_points_1,2,5,,,Virulence
talent_spell,50117,changed,effect_base_points_2,0,1,,,Rage of Rivendare
talent_spell,50118,changed,effect_base_points_2,1,3,,,Rage of Rivendare
talent_spell,50119,changed,effect_base_points_2,2,5,,,Rage of Rivendare
talent_spell,50120,changed,effect_base_points_2,3,7,,,Rage of Rivendare
talent_spell,50121,changed,effect_base_points_2,4,9,,,Rage of Rivendare
talent_spell,50137,changed,effect_base_points_1,1,3,,,Nerves of Cold Steel
talent_spell,50138,changed,effect_base_points_1,2,5,,,Nerves of Cold Steel
talent_spell,50147,changed,effect_2,0,6,,,Runic Power Mastery
talent_spell,50147,changed,effect_aura_2,0,286,,,Runic Power Mastery
talent_spell,50147,changed,effect_base_points_2,7,0,,,Runic Power Mastery
talent_spell,51745,changed,effect_3,0,6,,,Vicious Strikes
talent_spell,51745,changed,effect_aura_3,0,286,,,Vicious Strikes
talent_spell,51746,changed,effect_3,0,6,,,Vicious Strikes
talent_spell,51746,changed,effect_aura_3,0,286,,,Vicious Strikes
talent_spell,53434,changed,recovery_time,300000,120000,,,Call of the Wild
